run_id	timestamp	case_id	score	total	expected_has_trade	pred_has_trade	expected_ticker	pred_ticker	expected_direction	pred_direction	expected_asset_type	pred_asset_type	expected_confidence	pred_confidence
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	crypto-long-btc-etf	3	8	true	false	BTC		long	long	crypto	crypto	medium	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	crypto-short-sol-exploit	1	8	true	false	SOL		short	long	crypto	crypto	medium	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	stock-long-aapl-buyback	2	8	true	false	AAPL		long	long	stock	crypto	medium	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	stock-short-tsla-margins	0	8	true	false	TSLA		short	long	stock	crypto	medium	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	commodity-long-gold-rate-cuts	2	8	true	false	GC		long	long	commodity	crypto	medium	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	commodity-short-crude-opec	0	8	true	false	CL		short	long	commodity	crypto	medium	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	prediction-yes-pres24	0	8	true	false	PRES24		yes	long	prediction	crypto	high	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	prediction-no-rate25	0	8	true	false	RATE25		no	long	prediction	crypto	medium	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	news-long-mrna-fda	2	8	true	false	MRNA		long	long	stock	crypto	medium	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	news-short-coin-sec	0	8	true	false	COIN		short	long	stock	crypto	medium	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	no-trade-watch-eth	2	2	false	false			long	long	crypto	crypto	low	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	multi-ticker-primary-msft	2	8	true	false	MSFT		long	long	stock	crypto	medium	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	multi-ticker-comparison-nvda	2	8	true	false	NVDA		long	long	stock	crypto	medium	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	pair-trade-ambiguous	2	2	false	false			long	long	stock	crypto	low	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	question-about-oil	2	2	false	false			long	long	commodity	crypto	low	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	crypto-long-eth-staking	3	8	true	false	ETH		long	long	crypto	crypto	medium	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	crypto-short-doge-meme	1	8	true	false	DOGE		short	long	crypto	crypto	medium	low
run_1774080236669_v7l440	2026-03-21T08:03:56.670Z	stock-long-nflx-subscriber	2	8	true	false	NFLX		long	long	stock	crypto	medium	low
